AREA 9_2012,Crime Code,Frequency,Description
AREA 9,440,970,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 9,354,912,THEFT OF IDENTITY
AREA 9,330,879,BURGLARY FROM VEHICLE
AREA 9,624,771,BATTERY - SIMPLE ASSAULT
AREA 9,310,638,BURGLARY
AREA 9,626,606,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 9,510,566,VEHICLE - STOLEN
AREA 9,740,545,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 9,745,412,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 9,420,380,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
