AREA 8_2015,Crime Code,Frequency,Description
AREA 8,354,968,THEFT OF IDENTITY
AREA 8,310,914,BURGLARY
AREA 8,440,865,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 8,624,774,BATTERY - SIMPLE ASSAULT
AREA 8,330,768,BURGLARY FROM VEHICLE
AREA 8,341,539,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 8,740,523,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 8,420,458,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 8,510,369,VEHICLE - STOLEN
AREA 8,626,325,INTIMATE PARTNER - SIMPLE ASSAULT
