AREA 7_2016,Crime Code,Frequency,Description
AREA 7,310,822,BURGLARY
AREA 7,330,746,BURGLARY FROM VEHICLE
AREA 7,440,656,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 7,354,598,THEFT OF IDENTITY
AREA 7,624,581,BATTERY - SIMPLE ASSAULT
AREA 7,510,574,VEHICLE - STOLEN
AREA 7,740,550,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 7,341,383,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 7,626,362,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 7,442,346,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
