AREA 4_2013,Crime Code,Frequency,Description
AREA 4,510,846,VEHICLE - STOLEN
AREA 4,624,782,BATTERY - SIMPLE ASSAULT
AREA 4,440,541,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 4,740,407,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 4,310,373,BURGLARY
AREA 4,230,364,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 4,330,350,BURGLARY FROM VEHICLE
AREA 4,354,322,THEFT OF IDENTITY
AREA 4,420,318,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 4,745,300,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
