AREA 5_2015,Crime Code,Frequency,Description
AREA 5,510,1024,VEHICLE - STOLEN
AREA 5,310,835,BURGLARY
AREA 5,354,604,THEFT OF IDENTITY
AREA 5,330,600,BURGLARY FROM VEHICLE
AREA 5,624,570,BATTERY - SIMPLE ASSAULT
AREA 5,740,569,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 5,440,523,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 5,626,497,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 5,420,479,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 5,230,458,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
