"","Date Occurred","Area ID","Crime Code"
"1","03/11/2013",12,626
"2","02/13/2013",12,440
"3","06/07/2013",12,763
"4","01/13/2010",12,510
"5","03/07/2010",12,510
"6","03/27/2010",12,510
"7","03/19/2010",12,510
"8","05/25/2010",12,510
"9","05/30/2010",12,510
"10","07/29/2010",12,510
"11","03/04/2010",12,510
"12","12/17/2010",12,510
"13","11/26/2010",12,510
"14","03/18/2010",12,510
"15","02/13/2010",12,510
"16","04/16/2010",12,510
"17","07/26/2010",12,510
"18","08/04/2010",12,510
"19","09/17/2010",12,510
"20","10/17/2010",12,510
"21","10/16/2010",12,510
"22","10/29/2010",12,510
"23","11/15/2010",12,510
"24","11/21/2010",12,510
"25","12/12/2010",12,510
"26","12/24/2010",12,510
"27","01/13/2010",12,510
"28","06/08/2010",12,510
"29","12/17/2010",12,510
"30","10/25/2010",12,510
"31","03/29/2010",12,510
"32","07/02/2010",12,510
"33","05/29/2010",12,510
"34","09/09/2010",12,510
"35","04/10/2010",12,510
"36","05/17/2010",12,510
"37","06/22/2010",12,310
"38","06/25/2010",12,510
"39","07/17/2010",12,510
"40","08/02/2010",12,510
"41","08/17/2010",12,510
"42","09/11/2010",12,510
"43","10/06/2010",12,510
"44","11/16/2010",12,510
"45","11/26/2010",12,510
"46","08/13/2010",12,330
"47","11/09/2010",12,510
"48","11/18/2010",12,510
"49","02/05/2010",12,510
"50","02/08/2010",12,330
"51","02/15/2010",12,510
"52","02/26/2010",12,510
"53","02/27/2010",12,510
"54","03/08/2010",12,510
"55","03/16/2010",12,510
"56","03/26/2010",12,510
"57","04/06/2010",12,510
"58","05/17/2010",12,510
"59","06/18/2010",12,510
"60","07/07/2010",12,510
"61","07/14/2010",12,510
"62","07/18/2010",12,510
"63","08/06/2010",12,510
"64","08/20/2010",12,510
"65","10/16/2010",12,510
"66","10/15/2010",12,510
"67","12/14/2010",12,510
"68","12/27/2010",12,888
"69","04/25/2010",12,510
"70","03/10/2010",12,510
"71","01/20/2010",12,510
"72","02/02/2010",12,510
"73","02/13/2010",12,510
"74","03/21/2010",12,510
"75","04/15/2010",12,510
"76","06/16/2010",12,510
"77","05/10/2010",12,510
"78","05/12/2010",12,510
"79","06/11/2010",12,510
"80","07/04/2010",12,330
"81","07/19/2010",12,330
"82","07/22/2010",12,510
"83","07/13/2010",12,510
"84","08/10/2010",12,946
"85","08/17/2010",12,510
"86","09/04/2010",12,510
"87","09/04/2010",12,510
"88","11/23/2010",12,510
"89","11/30/2010",12,510
"90","04/15/2010",12,510
"91","07/11/2010",12,510
"92","01/04/2010",12,888
"93","02/28/2010",12,510
"94","03/07/2010",12,510
"95","03/30/2010",12,510
"96","04/15/2010",12,510
"97","04/25/2010",12,510
"98","04/27/2010",12,510
"99","05/30/2010",12,510
"100","06/08/2010",12,940
"101","01/19/2010",12,510
"102","01/23/2010",12,310
"103","01/29/2010",12,510
"104","01/31/2010",12,946
"105","02/13/2010",12,510
"106","04/04/2010",12,510
"107","03/13/2010",12,510
"108","04/01/2010",12,510
"109","05/16/2010",12,510
"110","04/24/2010",12,510
"111","05/19/2010",12,510
"112","09/05/2010",12,510
"113","06/01/2010",12,812
"114","12/23/2010",12,510
"115","03/27/2010",12,354
"116","08/29/2010",12,210
"117","09/30/2013",12,354
"118","11/06/2010",12,510
"119","07/23/2013",12,354
"120","05/13/2010",12,627
"121","01/04/2010",12,510
"122","02/18/2010",12,510
"123","03/23/2010",12,510
"124","03/22/2010",12,510
"125","03/22/2010",12,310
"126","04/13/2010",12,510
"127","09/18/2010",12,510
"128","01/31/2010",12,510
"129","03/12/2010",12,510
"130","04/21/2010",12,510
"131","04/22/2010",12,510
"132","06/03/2010",12,510
"133","06/26/2010",12,510
"134","06/27/2010",12,510
"135","07/23/2010",12,510
"136","05/22/2010",12,510
"137","01/12/2010",12,510
"138","01/17/2010",12,510
"139","02/02/2010",12,510
"140","02/03/2010",12,510
"141","02/20/2010",12,510
"142","02/20/2010",12,510
"143","04/12/2010",12,510
"144","03/31/2010",12,510
"145","05/12/2010",12,510
"146","06/09/2010",12,510
"147","07/26/2010",12,510
"148","07/04/2010",12,510
"149","11/11/2010",12,510
"150","01/10/2010",12,510
"151","07/21/2013",12,647
"152","10/19/2010",12,510
"153","10/22/2010",12,510
"154","11/01/2010",12,510
"155","11/13/2010",12,510
"156","07/22/2013",12,440
"157","01/29/2010",12,510
"158","02/02/2010",12,510
"159","01/09/2010",12,237
"160","01/22/2010",12,946
"161","03/05/2010",12,510
"162","09/30/2010",12,510
"163","03/12/2010",12,350
"164","06/23/2010",12,510
"165","04/25/2010",12,510
"166","08/19/2010",12,510
"167","03/26/2010",12,510
"168","05/16/2010",12,510
"169","09/18/2010",12,510
"170","08/19/2010",12,510
"171","08/21/2010",12,510
"172","09/05/2010",12,510
"173","10/08/2010",12,510
"174","11/24/2010",12,510
