"","Crime Code","Crime Code Description"
"87117",347,"GRAND THEFT / INSURANCE FRAUD"
"89572",473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
"98262",349,"GRAND THEFT / AUTO REPAIR"
"104240",446,"PETTY THEFT - AUTO REPAIR"
"133385",435,"LYNCHING"
"157342",113,"MANSLAUGHTER, NEGLIGENT"
"176375",948,"BIGAMY"
"177932",472,"TILL TAP - ATTEMPT"
"184230",470,"TILL TAP - GRAND THEFT ($950.01 & OVER)"
"207434",822,NA
"213835",453,"DRUNK ROLL - ATTEMPT"
"288327",475,"THEFT, COIN MACHINE - ATTEMPT"
"296085",652,"DOCUMENT WORTHLESS ($200 & UNDER)"
"321315",760,NA
"721851",921,NA
"721970",814,NA
"877976",445,"DISHONEST EMPLOYEE ATTEMPTED THEFT"
"990031",830,"INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)"
"1213654",432,"BLOCKING DOOR INDUCTION CENTER"
"1560570",926,"TRAIN WRECKING"
